Experiment ; nb_agents ; cost ; time 
aamas/logs100/parallel_range1_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 96 ; 0.68
aamas/logs100/parallel_range1_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 100 ; 0.71
aamas/logs100/parallel_range1_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 92 ; 0.7
aamas/logs100/parallel_range1_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 96 ; 0.68
aamas/logs100/parallel_range1_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 100 ; 0.66
aamas/logs100/parallel_range1_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 100 ; 0.71
aamas/logs100/parallel_range1_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 106 ; 0.7
aamas/logs100/parallel_range1_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 88 ; 0.7
aamas/logs100/parallel_range1_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 96 ; 0.7
aamas/logs100/parallel_range1_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 96 ; 0.69
aamas/logs100/parallel_range1_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 98 ; 0.69
aamas/logs100/parallel_range1_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 96 ; 0.69
aamas/logs100/parallel_range1_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 96 ; 0.74
aamas/logs100/parallel_range1_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 88 ; 0.67
aamas/logs100/parallel_range1_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 102 ; 0.68
aamas/logs100/parallel_range1_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 76 ; 0.67
aamas/logs100/parallel_range1_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 88 ; 0.69
aamas/logs100/parallel_range1_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 92 ; 0.73
aamas/logs100/parallel_range1_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 106 ; 0.67
aamas/logs100/parallel_range1_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 88 ; 0.7
aamas/logs100/parallel_range1_agents3__CASTAR_CHECK_COLLISIONS.csv ; 3 ; 144 ; 0.9
aamas/logs100/parallel_range1_agents3__CASTAR_CHECK_COLLISIONS.csv ; 3 ; 147 ; 1.04
aamas/logs100/parallel_range1_agents3__CASTAR_CHECK_COLLISIONS.csv ; 3 ; 144 ; 1.05
aamas/logs100/parallel_range1_agents3__CASTAR_CHECK_COLLISIONS.csv ; 3 ; 144 ; 1.2
aamas/logs100/parallel_range1_agents3__CASTAR_CHECK_COLLISIONS.csv ; 3 ; 144 ; 1.08
aamas/logs100/parallel_range1_agents3__CASTAR_CHECK_COLLISIONS.csv ; 3 ; 150 ; 1.08
aamas/logs100/parallel_range1_agents3__CASTAR_CHECK_COLLISIONS.csv ; 3 ; 144 ; 0.96
aamas/logs100/parallel_range1_agents3__CASTAR_CHECK_COLLISIONS.csv ; 3 ; 153 ; 1.04
aamas/logs100/parallel_range1_agents3__CASTAR_CHECK_COLLISIONS.csv ; 3 ; 159 ; 0.99
aamas/logs100/parallel_range1_agents3__CASTAR_CHECK_COLLISIONS.csv ; 3 ; 153 ; 1.03
aamas/logs100/parallel_range1_agents3__CASTAR_CHECK_COLLISIONS.csv ; 3 ; 159 ; 1.0
aamas/logs100/parallel_range1_agents3__CASTAR_CHECK_COLLISIONS.csv ; 3 ; 150 ; 0.98
aamas/logs100/parallel_range1_agents3__CASTAR_CHECK_COLLISIONS.csv ; 3 ; 144 ; 1.08
aamas/logs100/parallel_range1_agents3__CASTAR_CHECK_COLLISIONS.csv ; 3 ; 132 ; 1.04
aamas/logs100/parallel_range1_agents3__CASTAR_CHECK_COLLISIONS.csv ; 3 ; 144 ; 1.19
aamas/logs100/parallel_range1_agents3__CASTAR_CHECK_COLLISIONS.csv ; 3 ; 144 ; 1.03
aamas/logs100/parallel_range1_agents3__CASTAR_CHECK_COLLISIONS.csv ; 3 ; 144 ; 1.03
aamas/logs100/parallel_range1_agents3__CASTAR_CHECK_COLLISIONS.csv ; 3 ; 150 ; 1.32
aamas/logs100/parallel_range1_agents3__CASTAR_CHECK_COLLISIONS.csv ; 3 ; 153 ; 1.06
aamas/logs100/parallel_range1_agents3__CASTAR_CHECK_COLLISIONS.csv ; 3 ; 150 ; 1.05
aamas/logs100/parallel_range1_agents4__CASTAR_CHECK_COLLISIONS.csv ; 4 ; 216 ; 1.41
aamas/logs100/parallel_range1_agents4__CASTAR_CHECK_COLLISIONS.csv ; 4 ; 156 ; 1.64
aamas/logs100/parallel_range1_agents4__CASTAR_CHECK_COLLISIONS.csv ; 4 ; 204 ; 1.39
aamas/logs100/parallel_range1_agents4__CASTAR_CHECK_COLLISIONS.csv ; 4 ; 216 ; 1.79
aamas/logs100/parallel_range1_agents4__CASTAR_CHECK_COLLISIONS.csv ; 4 ; 196 ; 1.4
aamas/logs100/parallel_range1_agents4__CASTAR_CHECK_COLLISIONS.csv ; 4 ; 196 ; 1.65
aamas/logs100/parallel_range1_agents4__CASTAR_CHECK_COLLISIONS.csv ; 4 ; 204 ; 2.19
aamas/logs100/parallel_range1_agents4__CASTAR_CHECK_COLLISIONS.csv ; 4 ; 204 ; 1.62
aamas/logs100/parallel_range1_agents4__CASTAR_CHECK_COLLISIONS.csv ; 4 ; 196 ; 1.47
aamas/logs100/parallel_range1_agents4__CASTAR_CHECK_COLLISIONS.csv ; 4 ; 204 ; 1.36
