Experiment ; nb_agents ; success_rate
parallel_range1_agents ; 2 ; 1.0
parallel_range1_agents ; 3 ; 1.0
parallel_range1_agents ; 4 ; 1.0
parallel_range1_agents ; 5 ; 1.0
parallel_range1_agents ; 6 ; 1.0
parallel_range1_agents ; 7 ; 1.0
parallel_range1_agents ; 8 ; 1.0
parallel_range1_agents ; 9 ; 1.0
parallel_range1_agents ; 10 ; 1.0
parallel_range1_agents ; 11 ; 1.0
parallel_range1_agents ; 12 ; 1.0
parallel_range1_agents ; 13 ; 1.0
parallel_range1_agents ; 14 ; 1.0
parallel_range1_agents ; 15 ; 1.0
parallel_range1_agents ; 16 ; 1.0
parallel_range1_agents ; 17 ; 1.0
parallel_range1_agents ; 18 ; 1.0
parallel_range1_agents ; 19 ; 1.0
parallel_range1_agents ; 20 ; 1.0
parallel_range1_agents ; 21 ; 1.0
parallel_range1_agents ; 22 ; 1.0
parallel_range1_agents ; 23 ; 1.0
parallel_range1_agents ; 24 ; 1.0
parallel_range1_agents ; 25 ; 1.0
parallel_range1_agents ; 26 ; 1.0
parallel_range1_agents ; 27 ; 0.95
parallel_range1_agents ; 28 ; 1.0
parallel_range1_agents ; 29 ; 0.9
parallel_range1_agents ; 30 ; 0.85
parallel_range1_agents ; 31 ; 0.9
parallel_range1_agents ; 32 ; 0.75
parallel_range1_agents ; 33 ; 0.75
parallel_range1_agents ; 34 ; 1.0
parallel_range1_agents ; 35 ; 0.3
parallel_range1_agents ; 36 ; 0.3
parallel_range1_agents ; 37 ; 0.55
parallel_range1_agents ; 38 ; 0.25
parallel_range1_agents ; 39 ; 0.0
