Experiment ; nb_agents ; cost ; time 
aamas/logs100/pyramid_range3_3d_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 28 ; 0.23
aamas/logs100/pyramid_range3_3d_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 56 ; 0.27
aamas/logs100/pyramid_range3_3d_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 66 ; 0.26
aamas/logs100/pyramid_range3_3d_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 62 ; 0.25
aamas/logs100/pyramid_range3_3d_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 22 ; 0.23
aamas/logs100/pyramid_range3_3d_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 14 ; 0.27
aamas/logs100/pyramid_range3_3d_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 42 ; 0.32
aamas/logs100/pyramid_range3_3d_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 82 ; 2.16
aamas/logs100/pyramid_range3_3d_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 28 ; 0.3
aamas/logs100/pyramid_range3_3d_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 16 ; 0.3
aamas/logs100/pyramid_range3_3d_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 24 ; 0.3
aamas/logs100/pyramid_range3_3d_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 16 ; 0.3
aamas/logs100/pyramid_range3_3d_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 58 ; 0.31
aamas/logs100/pyramid_range3_3d_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 56 ; 0.34
aamas/logs100/pyramid_range3_3d_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 36 ; 0.31
aamas/logs100/pyramid_range3_3d_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 42 ; 0.34
aamas/logs100/pyramid_range3_3d_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 92 ; 0.33
aamas/logs100/pyramid_range3_3d_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 58 ; 0.33
aamas/logs100/pyramid_range3_3d_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 24 ; 0.31
aamas/logs100/pyramid_range3_3d_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 46 ; 0.32
aamas/logs100/pyramid_range3_3d_agents3__CASTAR_CHECK_COLLISIONS.csv ; 3 ; 39 ; 0.32
aamas/logs100/pyramid_range3_3d_agents3__CASTAR_CHECK_COLLISIONS.csv ; 3 ; 93 ; 0.3
aamas/logs100/pyramid_range3_3d_agents3__CASTAR_CHECK_COLLISIONS.csv ; 3 ; 54 ; 0.31
aamas/logs100/pyramid_range3_3d_agents3__CASTAR_CHECK_COLLISIONS.csv ; 3 ; 66 ; 0.31
