Experiment ; nb_agents ; success_rate
offices_range1_agents ; 2 ; 1.0
offices_range1_agents ; 3 ; 1.0
offices_range1_agents ; 4 ; 1.0
offices_range1_agents ; 5 ; 1.0
offices_range1_agents ; 6 ; 1.0
offices_range1_agents ; 7 ; 1.0
offices_range1_agents ; 8 ; 1.0
offices_range1_agents ; 9 ; 1.0
offices_range1_agents ; 10 ; 1.0
offices_range1_agents ; 11 ; 1.0
offices_range1_agents ; 12 ; 1.0
offices_range1_agents ; 13 ; 1.0
offices_range1_agents ; 14 ; 1.0
offices_range1_agents ; 15 ; 1.0
offices_range1_agents ; 16 ; 1.0
offices_range1_agents ; 17 ; 1.0
offices_range1_agents ; 18 ; 1.0
offices_range1_agents ; 19 ; 1.0
offices_range1_agents ; 20 ; 1.0
offices_range1_agents ; 21 ; 1.0
offices_range1_agents ; 22 ; 1.0
offices_range1_agents ; 23 ; 1.0
offices_range1_agents ; 24 ; 1.0
offices_range1_agents ; 25 ; 1.0
offices_range1_agents ; 26 ; 1.0
offices_range1_agents ; 27 ; 0.95
offices_range1_agents ; 28 ; 0.9
offices_range1_agents ; 29 ; 1.0
offices_range1_agents ; 30 ; 1.0
offices_range1_agents ; 31 ; 1.0
offices_range1_agents ; 32 ; 0.95
offices_range1_agents ; 33 ; 0.9
offices_range1_agents ; 34 ; 0.85
offices_range1_agents ; 35 ; 0.95
offices_range1_agents ; 36 ; 0.8
offices_range1_agents ; 37 ; 0.75
offices_range1_agents ; 38 ; 0.85
offices_range1_agents ; 39 ; 0.65
offices_range1_agents ; 40 ; 0.55
offices_range1_agents ; 41 ; 0.8
offices_range1_agents ; 42 ; 0.4
offices_range1_agents ; 43 ; 0.4
offices_range1_agents ; 44 ; 0.45
offices_range1_agents ; 45 ; 0.5
offices_range1_agents ; 46 ; 0.35
offices_range1_agents ; 47 ; 0.35
offices_range1_agents ; 48 ; 0.15
offices_range1_agents ; 49 ; 0.35
offices_range1_agents ; 50 ; 0.1
offices_range1_agents ; 51 ; 0.15
offices_range1_agents ; 52 ; 0.35
offices_range1_agents ; 53 ; 0.15
offices_range1_agents ; 54 ; 0.15
offices_range1_agents ; 55 ; 0.05
offices_range1_agents ; 56 ; 0.15
offices_range1_agents ; 57 ; 0.05
offices_range1_agents ; 58 ; 0.0
offices_range1_agents ; 59 ; 0.0
offices_range1_agents ; 60 ; 0.05
offices_range1_agents ; 61 ; 0.05
offices_range1_agents ; 62 ; 0.0
offices_range1_agents ; 63 ; 0.0
offices_range1_agents ; 64 ; 0.0
offices_range1_agents ; 65 ; 0.0
offices_range1_agents ; 66 ; 0.05
offices_range1_agents ; 67 ; 0.0
offices_range1_agents ; 68 ; 0.0
offices_range1_agents ; 69 ; 0.0
offices_range1_agents ; 70 ; 0.0
offices_range1_agents ; 71 ; 0.0
offices_range1_agents ; 72 ; 0.0
offices_range1_agents ; 73 ; 0.0
offices_range1_agents ; 74 ; 0.0
offices_range1_agents ; 75 ; 0.0
offices_range1_agents ; 76 ; 0.0
offices_range1_agents ; 77 ; 0.0
offices_range1_agents ; 78 ; 0.0
offices_range1_agents ; 79 ; 0.0
offices_range1_agents ; 80 ; 0.0
