Experiment ; nb_agents ; success_rate
parallel_range1_agents ; 2 ; 1.0
parallel_range1_agents ; 3 ; 1.0
parallel_range1_agents ; 4 ; 1.0
parallel_range1_agents ; 5 ; 1.0
parallel_range1_agents ; 6 ; 1.0
parallel_range1_agents ; 7 ; 1.0
parallel_range1_agents ; 8 ; 1.0
parallel_range1_agents ; 9 ; 1.0
parallel_range1_agents ; 10 ; 1.0
parallel_range1_agents ; 11 ; 1.0
parallel_range1_agents ; 12 ; 1.0
parallel_range1_agents ; 13 ; 1.0
parallel_range1_agents ; 14 ; 1.0
parallel_range1_agents ; 15 ; 1.0
parallel_range1_agents ; 16 ; 1.0
parallel_range1_agents ; 17 ; 1.0
parallel_range1_agents ; 18 ; 1.0
parallel_range1_agents ; 19 ; 1.0
parallel_range1_agents ; 20 ; 1.0
parallel_range1_agents ; 21 ; 1.0
parallel_range1_agents ; 22 ; 1.0
parallel_range1_agents ; 23 ; 1.0
parallel_range1_agents ; 24 ; 1.0
parallel_range1_agents ; 25 ; 1.0
parallel_range1_agents ; 26 ; 1.0
parallel_range1_agents ; 27 ; 1.0
parallel_range1_agents ; 28 ; 0.95
parallel_range1_agents ; 29 ; 0.9
parallel_range1_agents ; 30 ; 0.85
parallel_range1_agents ; 31 ; 0.85
parallel_range1_agents ; 32 ; 0.95
parallel_range1_agents ; 33 ; 0.95
parallel_range1_agents ; 34 ; 1.0
parallel_range1_agents ; 35 ; 0.8
parallel_range1_agents ; 36 ; 0.55
parallel_range1_agents ; 37 ; 0.55
parallel_range1_agents ; 38 ; 0.25
parallel_range1_agents ; 39 ; 0.9
parallel_range1_agents ; 40 ; 0.65
parallel_range1_agents ; 41 ; 0.65
parallel_range1_agents ; 42 ; 0.6
parallel_range1_agents ; 43 ; 0.45
parallel_range1_agents ; 44 ; 0.55
parallel_range1_agents ; 45 ; 0.6
parallel_range1_agents ; 46 ; 0.6
parallel_range1_agents ; 47 ; 0.35
parallel_range1_agents ; 48 ; 0.6
parallel_range1_agents ; 49 ; 0.5
parallel_range1_agents ; 50 ; 0.5
parallel_range1_agents ; 51 ; 0.55
parallel_range1_agents ; 52 ; 0.3
parallel_range1_agents ; 53 ; 0.5
parallel_range1_agents ; 54 ; 0.65
parallel_range1_agents ; 55 ; 0.4
parallel_range1_agents ; 56 ; 0.65
parallel_range1_agents ; 57 ; 0.65
parallel_range1_agents ; 58 ; 0.35
parallel_range1_agents ; 59 ; 0.25
parallel_range1_agents ; 60 ; 0.6
parallel_range1_agents ; 61 ; 0.45
parallel_range1_agents ; 62 ; 0.45
parallel_range1_agents ; 63 ; 0.25
parallel_range1_agents ; 64 ; 0.3
parallel_range1_agents ; 65 ; 0.35
parallel_range1_agents ; 66 ; 0.45
parallel_range1_agents ; 67 ; 0.5
parallel_range1_agents ; 68 ; 0.3
parallel_range1_agents ; 69 ; 0.45
parallel_range1_agents ; 70 ; 0.35
parallel_range1_agents ; 71 ; 0.5
parallel_range1_agents ; 72 ; 0.35
parallel_range1_agents ; 73 ; 0.35
parallel_range1_agents ; 74 ; 0.25
parallel_range1_agents ; 75 ; 0.2
parallel_range1_agents ; 76 ; 0.35
parallel_range1_agents ; 77 ; 0.5
parallel_range1_agents ; 78 ; 0.4
