Experiment ; nb_agents ; cost ; time 
aamas/logs300/small_obstacles_3d_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 44 ; 0.98
aamas/logs300/small_obstacles_3d_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 76 ; 1.02
aamas/logs300/small_obstacles_3d_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 140 ; 1.12
aamas/logs300/small_obstacles_3d_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 100 ; 1.11
aamas/logs300/small_obstacles_3d_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 50 ; 0.98
aamas/logs300/small_obstacles_3d_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 84 ; 0.99
aamas/logs300/small_obstacles_3d_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 84 ; 1.02
aamas/logs300/small_obstacles_3d_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 30 ; 1.0
aamas/logs300/small_obstacles_3d_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 34 ; 0.96
aamas/logs300/small_obstacles_3d_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 142 ; 1.08
aamas/logs300/small_obstacles_3d_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 104 ; 1.06
aamas/logs300/small_obstacles_3d_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 134 ; 1.14
aamas/logs300/small_obstacles_3d_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 90 ; 1.03
aamas/logs300/small_obstacles_3d_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 60 ; 1.02
aamas/logs300/small_obstacles_3d_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 116 ; 1.19
aamas/logs300/small_obstacles_3d_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 66 ; 0.99
aamas/logs300/small_obstacles_3d_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 110 ; 1.09
aamas/logs300/small_obstacles_3d_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 54 ; 1.03
aamas/logs300/small_obstacles_3d_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 38 ; 1.0
aamas/logs300/small_obstacles_3d_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 78 ; 1.06
aamas/logs300/small_obstacles_3d_agents3__CASTAR_CHECK_COLLISIONS.csv ; 3 ; 27 ; 1.0
aamas/logs300/small_obstacles_3d_agents3__CASTAR_CHECK_COLLISIONS.csv ; 3 ; 99 ; 1.05
aamas/logs300/small_obstacles_3d_agents3__CASTAR_CHECK_COLLISIONS.csv ; 3 ; 114 ; 1.26
aamas/logs300/small_obstacles_3d_agents3__CASTAR_CHECK_COLLISIONS.csv ; 3 ; 102 ; 1.1
aamas/logs300/small_obstacles_3d_agents3__CASTAR_CHECK_COLLISIONS.csv ; 3 ; 96 ; 1.1
aamas/logs300/small_obstacles_3d_agents3__CASTAR_CHECK_COLLISIONS.csv ; 3 ; 192 ; 1.19
aamas/logs300/small_obstacles_3d_agents3__CASTAR_CHECK_COLLISIONS.csv ; 3 ; 144 ; 1.3
aamas/logs300/small_obstacles_3d_agents3__CASTAR_CHECK_COLLISIONS.csv ; 3 ; 144 ; 1.23
aamas/logs300/small_obstacles_3d_agents3__CASTAR_CHECK_COLLISIONS.csv ; 3 ; 213 ; 1.15
aamas/logs300/small_obstacles_3d_agents3__CASTAR_CHECK_COLLISIONS.csv ; 3 ; 66 ; 0.99
aamas/logs300/small_obstacles_3d_agents3__CASTAR_CHECK_COLLISIONS.csv ; 3 ; 129 ; 1.19
aamas/logs300/small_obstacles_3d_agents3__CASTAR_CHECK_COLLISIONS.csv ; 3 ; 72 ; 1.21
