Experiment ; nb_agents ; cost ; time 
aamas/logs300/offices_range1_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 62 ; 0.1
aamas/logs300/offices_range1_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 142 ; 0.14
aamas/logs300/offices_range1_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 146 ; 0.14
aamas/logs300/offices_range1_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 90 ; 0.12
aamas/logs300/offices_range1_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 188 ; 0.15
aamas/logs300/offices_range1_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 162 ; 0.14
aamas/logs300/offices_range1_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 84 ; 0.12
aamas/logs300/offices_range1_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 92 ; 0.13
aamas/logs300/offices_range1_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 44 ; 0.11
aamas/logs300/offices_range1_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 182 ; 0.14
aamas/logs300/offices_range1_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 146 ; 0.14
aamas/logs300/offices_range1_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 44 ; 0.11
aamas/logs300/offices_range1_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 46 ; 0.1
aamas/logs300/offices_range1_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 164 ; 0.14
aamas/logs300/offices_range1_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 74 ; 0.11
aamas/logs300/offices_range1_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 80 ; 0.11
aamas/logs300/offices_range1_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 34 ; 0.11
aamas/logs300/offices_range1_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 82 ; 0.11
aamas/logs300/offices_range1_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 150 ; 0.14
aamas/logs300/offices_range1_agents2__CASTAR_CHECK_COLLISIONS.csv ; 2 ; 162 ; 0.14
