Experiment ; nb_agents ; cost ; time 
aamas/logs_dfs/small_obstacles_3d_agents2__dfs_COL.csv ; 2 ; 22 ; 2.89
aamas/logs_dfs/small_obstacles_3d_agents2__dfs_COL.csv ; 2 ; 37 ; 4.5
aamas/logs_dfs/small_obstacles_3d_agents2__dfs_COL.csv ; 2 ; 77 ; 5.4399999999999995
aamas/logs_dfs/small_obstacles_3d_agents2__dfs_COL.csv ; 2 ; 53 ; 7.59
aamas/logs_dfs/small_obstacles_3d_agents2__dfs_COL.csv ; 2 ; 24 ; 4.93
aamas/logs_dfs/small_obstacles_3d_agents2__dfs_COL.csv ; 2 ; 30 ; 4.47
aamas/logs_dfs/small_obstacles_3d_agents2__dfs_COL.csv ; 2 ; 41 ; 6.38
aamas/logs_dfs/small_obstacles_3d_agents2__dfs_COL.csv ; 2 ; 14 ; 3.2
aamas/logs_dfs/small_obstacles_3d_agents2__dfs_COL.csv ; 2 ; 19 ; 3.4299999999999997
aamas/logs_dfs/small_obstacles_3d_agents2__dfs_COL.csv ; 2 ; 72 ; 7.29
aamas/logs_dfs/small_obstacles_3d_agents2__dfs_COL.csv ; 2 ; 51 ; 5.13
aamas/logs_dfs/small_obstacles_3d_agents2__dfs_COL.csv ; 2 ; 66 ; 5.59
aamas/logs_dfs/small_obstacles_3d_agents2__dfs_COL.csv ; 2 ; 42 ; 6.04
aamas/logs_dfs/small_obstacles_3d_agents2__dfs_COL.csv ; 2 ; 29 ; 3.69
aamas/logs_dfs/small_obstacles_3d_agents2__dfs_COL.csv ; 2 ; 57 ; 5.55
aamas/logs_dfs/small_obstacles_3d_agents2__dfs_COL.csv ; 2 ; 30 ; 3.9299999999999997
aamas/logs_dfs/small_obstacles_3d_agents2__dfs_COL.csv ; 2 ; 56 ; 6.890000000000001
aamas/logs_dfs/small_obstacles_3d_agents2__dfs_COL.csv ; 2 ; 26 ; 5.32
aamas/logs_dfs/small_obstacles_3d_agents2__dfs_COL.csv ; 2 ; 19 ; 4.949999999999999
aamas/logs_dfs/small_obstacles_3d_agents2__dfs_COL.csv ; 2 ; 40 ; 6.07
aamas/logs_dfs/small_obstacles_3d_agents3__dfs_COL.csv ; 3 ; 9 ; 3.55
aamas/logs_dfs/small_obstacles_3d_agents3__dfs_COL.csv ; 3 ; 37 ; 5.2
aamas/logs_dfs/small_obstacles_3d_agents3__dfs_COL.csv ; 3 ; 35 ; 4.89
aamas/logs_dfs/small_obstacles_3d_agents3__dfs_COL.csv ; 3 ; 35 ; 4.31
aamas/logs_dfs/small_obstacles_3d_agents3__dfs_COL.csv ; 3 ; 21 ; 4.23
aamas/logs_dfs/small_obstacles_3d_agents3__dfs_COL.csv ; 3 ; 63 ; 8.13
aamas/logs_dfs/small_obstacles_3d_agents3__dfs_COL.csv ; 3 ; 48 ; 5.67
aamas/logs_dfs/small_obstacles_3d_agents3__dfs_COL.csv ; 3 ; 48 ; 4.82
aamas/logs_dfs/small_obstacles_3d_agents3__dfs_COL.csv ; 3 ; 68 ; 5.68
aamas/logs_dfs/small_obstacles_3d_agents3__dfs_COL.csv ; 3 ; 24 ; 4.05
aamas/logs_dfs/small_obstacles_3d_agents3__dfs_COL.csv ; 3 ; 44 ; 6.12
aamas/logs_dfs/small_obstacles_3d_agents3__dfs_COL.csv ; 3 ; 29 ; 4.390000000000001
aamas/logs_dfs/small_obstacles_3d_agents3__dfs_COL.csv ; 3 ; 40 ; 5.27
aamas/logs_dfs/small_obstacles_3d_agents3__dfs_COL.csv ; 3 ; 72 ; 7.779999999999999
aamas/logs_dfs/small_obstacles_3d_agents3__dfs_COL.csv ; 3 ; 40 ; 6.25
aamas/logs_dfs/small_obstacles_3d_agents3__dfs_COL.csv ; 3 ; 64 ; 6.83
aamas/logs_dfs/small_obstacles_3d_agents3__dfs_COL.csv ; 3 ; 51 ; 5.63
aamas/logs_dfs/small_obstacles_3d_agents3__dfs_COL.csv ; 3 ; 82 ; 7.83
aamas/logs_dfs/small_obstacles_3d_agents3__dfs_COL.csv ; 3 ; 41 ; 5.77
aamas/logs_dfs/small_obstacles_3d_agents3__dfs_COL.csv ; 3 ; 36 ; 5.1499999999999995
aamas/logs_dfs/small_obstacles_3d_agents4__dfs_COL.csv ; 4 ; 55 ; 4.66
aamas/logs_dfs/small_obstacles_3d_agents4__dfs_COL.csv ; 4 ; 36 ; 5.029999999999999
aamas/logs_dfs/small_obstacles_3d_agents4__dfs_COL.csv ; 4 ; 54 ; 9.12
aamas/logs_dfs/small_obstacles_3d_agents4__dfs_COL.csv ; 4 ; 34 ; 5.67
aamas/logs_dfs/small_obstacles_3d_agents4__dfs_COL.csv ; 4 ; 44 ; 10.01
aamas/logs_dfs/small_obstacles_3d_agents4__dfs_COL.csv ; 4 ; 60 ; 13.68
aamas/logs_dfs/small_obstacles_3d_agents4__dfs_COL.csv ; 4 ; 48 ; 7.13
aamas/logs_dfs/small_obstacles_3d_agents4__dfs_COL.csv ; 4 ; 43 ; 4.9
aamas/logs_dfs/small_obstacles_3d_agents4__dfs_COL.csv ; 4 ; 70 ; 7.69
aamas/logs_dfs/small_obstacles_3d_agents4__dfs_COL.csv ; 4 ; 33 ; 4.54
aamas/logs_dfs/small_obstacles_3d_agents4__dfs_COL.csv ; 4 ; 33 ; 4.28
aamas/logs_dfs/small_obstacles_3d_agents4__dfs_COL.csv ; 4 ; 58 ; 6.0
aamas/logs_dfs/small_obstacles_3d_agents4__dfs_COL.csv ; 4 ; 74 ; 7.1000000000000005
aamas/logs_dfs/small_obstacles_3d_agents4__dfs_COL.csv ; 4 ; 53 ; 6.05
aamas/logs_dfs/small_obstacles_3d_agents4__dfs_COL.csv ; 4 ; 57 ; 4.83
aamas/logs_dfs/small_obstacles_3d_agents4__dfs_COL.csv ; 4 ; 40 ; 5.41
aamas/logs_dfs/small_obstacles_3d_agents4__dfs_COL.csv ; 4 ; 49 ; 5.39
aamas/logs_dfs/small_obstacles_3d_agents4__dfs_COL.csv ; 4 ; 48 ; 5.79
aamas/logs_dfs/small_obstacles_3d_agents4__dfs_COL.csv ; 4 ; 52 ; 6.970000000000001
aamas/logs_dfs/small_obstacles_3d_agents4__dfs_COL.csv ; 4 ; 30 ; 5.550000000000001
aamas/logs_dfs/small_obstacles_3d_agents5__dfs_COL.csv ; 5 ; 34 ; 4.51
aamas/logs_dfs/small_obstacles_3d_agents5__dfs_COL.csv ; 5 ; 45 ; 6.04
aamas/logs_dfs/small_obstacles_3d_agents5__dfs_COL.csv ; 5 ; 118 ; 30.66
aamas/logs_dfs/small_obstacles_3d_agents5__dfs_COL.csv ; 5 ; 32 ; 5.13
aamas/logs_dfs/small_obstacles_3d_agents5__dfs_COL.csv ; 5 ; 70 ; 7.68
aamas/logs_dfs/small_obstacles_3d_agents5__dfs_COL.csv ; 5 ; 37 ; 2.95
aamas/logs_dfs/small_obstacles_3d_agents5__dfs_COL.csv ; 5 ; 29 ; 11.34
aamas/logs_dfs/small_obstacles_3d_agents5__dfs_COL.csv ; 5 ; 39 ; 6.68
aamas/logs_dfs/small_obstacles_3d_agents5__dfs_COL.csv ; 5 ; 20 ; 3.67
aamas/logs_dfs/small_obstacles_3d_agents5__dfs_COL.csv ; 5 ; 35 ; 5.34
aamas/logs_dfs/small_obstacles_3d_agents5__dfs_COL.csv ; 5 ; 39 ; 4.65
aamas/logs_dfs/small_obstacles_3d_agents5__dfs_COL.csv ; 5 ; 82 ; 31.76
aamas/logs_dfs/small_obstacles_3d_agents5__dfs_COL.csv ; 5 ; 76 ; 7.62
aamas/logs_dfs/small_obstacles_3d_agents5__dfs_COL.csv ; 5 ; 44 ; 5.07
aamas/logs_dfs/small_obstacles_3d_agents5__dfs_COL.csv ; 5 ; 44 ; 13.35
aamas/logs_dfs/small_obstacles_3d_agents5__dfs_COL.csv ; 5 ; 63 ; 7.8999999999999995
aamas/logs_dfs/small_obstacles_3d_agents5__dfs_COL.csv ; 5 ; 67 ; 6.41
aamas/logs_dfs/small_obstacles_3d_agents5__dfs_COL.csv ; 5 ; 118 ; 13.41
aamas/logs_dfs/small_obstacles_3d_agents5__dfs_COL.csv ; 5 ; 68 ; 7.12
aamas/logs_dfs/small_obstacles_3d_agents5__dfs_COL.csv ; 5 ; 44 ; 8.02
aamas/logs_dfs/small_obstacles_3d_agents6__dfs_COL.csv ; 6 ; 92 ; 11.62
aamas/logs_dfs/small_obstacles_3d_agents6__dfs_COL.csv ; 6 ; 23 ; 4.53
aamas/logs_dfs/small_obstacles_3d_agents6__dfs_COL.csv ; 6 ; 106 ; 82.12
aamas/logs_dfs/small_obstacles_3d_agents6__dfs_COL.csv ; 6 ; 37 ; 6.08
aamas/logs_dfs/small_obstacles_3d_agents6__dfs_COL.csv ; 6 ; 34 ; 5.19
aamas/logs_dfs/small_obstacles_3d_agents6__dfs_COL.csv ; 6 ; 21 ; 3.88
aamas/logs_dfs/small_obstacles_3d_agents6__dfs_COL.csv ; 6 ; 71 ; 117.02
aamas/logs_dfs/small_obstacles_3d_agents6__dfs_COL.csv ; 6 ; 27 ; 3.78
aamas/logs_dfs/small_obstacles_3d_agents6__dfs_COL.csv ; 6 ; 250 ; 44.059999999999995
aamas/logs_dfs/small_obstacles_3d_agents6__dfs_COL.csv ; 6 ; 40 ; 8.530000000000001
aamas/logs_dfs/small_obstacles_3d_agents6__dfs_COL.csv ; 6 ; 50 ; 9.94
aamas/logs_dfs/small_obstacles_3d_agents6__dfs_COL.csv ; 6 ; 34 ; 3.85
aamas/logs_dfs/small_obstacles_3d_agents6__dfs_COL.csv ; 6 ; 62 ; 54.35
aamas/logs_dfs/small_obstacles_3d_agents6__dfs_COL.csv ; 6 ; 33 ; 4.67
aamas/logs_dfs/small_obstacles_3d_agents6__dfs_COL.csv ; 6 ; 114 ; 190.70999999999998
aamas/logs_dfs/small_obstacles_3d_agents7__dfs_COL.csv ; 7 ; 73 ; 43.68000000000001
aamas/logs_dfs/small_obstacles_3d_agents7__dfs_COL.csv ; 7 ; 89 ; 13.379999999999999
aamas/logs_dfs/small_obstacles_3d_agents7__dfs_COL.csv ; 7 ; 71 ; 70.10000000000001
aamas/logs_dfs/small_obstacles_3d_agents7__dfs_COL.csv ; 7 ; 40 ; 16.64
aamas/logs_dfs/small_obstacles_3d_agents7__dfs_COL.csv ; 7 ; 197 ; 160.79999999999998
aamas/logs_dfs/small_obstacles_3d_agents7__dfs_COL.csv ; 7 ; 71 ; 105.94
