Experiment ; nb_agents ; success_rate
small_obstacles_3d_agents ; 50 ; 0.0
small_obstacles_3d_agents ; 51 ; 0.0
small_obstacles_3d_agents ; 52 ; 0.0
small_obstacles_3d_agents ; 53 ; 0.0
small_obstacles_3d_agents ; 54 ; 0.0
small_obstacles_3d_agents ; 55 ; 0.0
small_obstacles_3d_agents ; 56 ; 0.0
small_obstacles_3d_agents ; 57 ; 0.0
small_obstacles_3d_agents ; 58 ; 0.0
small_obstacles_3d_agents ; 59 ; 0.0
small_obstacles_3d_agents ; 60 ; 0.0
small_obstacles_3d_agents ; 61 ; 0.0
small_obstacles_3d_agents ; 62 ; 0.0
small_obstacles_3d_agents ; 63 ; 0.0
small_obstacles_3d_agents ; 64 ; 0.0
small_obstacles_3d_agents ; 65 ; 0.0
small_obstacles_3d_agents ; 66 ; 0.0
small_obstacles_3d_agents ; 67 ; 0.0
small_obstacles_3d_agents ; 68 ; 0.0
small_obstacles_3d_agents ; 69 ; 0.0
small_obstacles_3d_agents ; 70 ; 0.0
small_obstacles_3d_agents ; 71 ; 0.0
small_obstacles_3d_agents ; 72 ; 0.0
small_obstacles_3d_agents ; 73 ; 0.0
small_obstacles_3d_agents ; 74 ; 0.0
small_obstacles_3d_agents ; 75 ; 0.0
small_obstacles_3d_agents ; 76 ; 0.0
small_obstacles_3d_agents ; 77 ; 0.0
small_obstacles_3d_agents ; 78 ; 0.0
small_obstacles_3d_agents ; 79 ; 0.0
small_obstacles_3d_agents ; 80 ; 0.0
