Experiment ; nb_agents ; cost ; time 
aamas/logs_dfs/offices_range1_agents2__dfs_COL.csv ; 2 ; 40 ; 1.62
aamas/logs_dfs/offices_range1_agents2__dfs_COL.csv ; 2 ; 123 ; 2.88
aamas/logs_dfs/offices_range1_agents2__dfs_COL.csv ; 2 ; 116 ; 3.0300000000000002
aamas/logs_dfs/offices_range1_agents2__dfs_COL.csv ; 2 ; 44 ; 1.47
aamas/logs_dfs/offices_range1_agents2__dfs_COL.csv ; 2 ; 95 ; 1.8599999999999999
aamas/logs_dfs/offices_range1_agents2__dfs_COL.csv ; 2 ; 86 ; 2.0
aamas/logs_dfs/offices_range1_agents2__dfs_COL.csv ; 2 ; 149 ; 2.78
aamas/logs_dfs/offices_range1_agents2__dfs_COL.csv ; 2 ; 46 ; 1.9
aamas/logs_dfs/offices_range1_agents2__dfs_COL.csv ; 2 ; 21 ; 1.59
aamas/logs_dfs/offices_range1_agents2__dfs_COL.csv ; 2 ; 142 ; 3.6199999999999997
aamas/logs_dfs/offices_range1_agents2__dfs_COL.csv ; 2 ; 72 ; 2.25
aamas/logs_dfs/offices_range1_agents2__dfs_COL.csv ; 2 ; 27 ; 1.43
aamas/logs_dfs/offices_range1_agents2__dfs_COL.csv ; 2 ; 24 ; 1.38
aamas/logs_dfs/offices_range1_agents2__dfs_COL.csv ; 2 ; 101 ; 1.96
aamas/logs_dfs/offices_range1_agents2__dfs_COL.csv ; 2 ; 56 ; 1.55
aamas/logs_dfs/offices_range1_agents2__dfs_COL.csv ; 2 ; 39 ; 1.43
aamas/logs_dfs/offices_range1_agents2__dfs_COL.csv ; 2 ; 16 ; 1.09
aamas/logs_dfs/offices_range1_agents2__dfs_COL.csv ; 2 ; 40 ; 1.51
aamas/logs_dfs/offices_range1_agents2__dfs_COL.csv ; 2 ; 112 ; 2.01
aamas/logs_dfs/offices_range1_agents2__dfs_COL.csv ; 2 ; 87 ; 1.8900000000000001
aamas/logs_dfs/offices_range1_agents3__dfs_COL.csv ; 3 ; 112 ; 9.7
aamas/logs_dfs/offices_range1_agents3__dfs_COL.csv ; 3 ; 61 ; 1.74
aamas/logs_dfs/offices_range1_agents3__dfs_COL.csv ; 3 ; 47 ; 1.16
aamas/logs_dfs/offices_range1_agents3__dfs_COL.csv ; 3 ; 73 ; 5.26
aamas/logs_dfs/offices_range1_agents3__dfs_COL.csv ; 3 ; 95 ; 3.57
aamas/logs_dfs/offices_range1_agents3__dfs_COL.csv ; 3 ; 77 ; 1.52
aamas/logs_dfs/offices_range1_agents3__dfs_COL.csv ; 3 ; 89 ; 4.76
aamas/logs_dfs/offices_range1_agents3__dfs_COL.csv ; 3 ; 155 ; 12.81
aamas/logs_dfs/offices_range1_agents3__dfs_COL.csv ; 3 ; 194 ; 11.99
aamas/logs_dfs/offices_range1_agents3__dfs_COL.csv ; 3 ; 59 ; 4.9
aamas/logs_dfs/offices_range1_agents4__dfs_COL.csv ; 4 ; 55 ; 1.32
aamas/logs_dfs/offices_range1_agents4__dfs_COL.csv ; 4 ; 453 ; 63.31
aamas/logs_dfs/offices_range1_agents4__dfs_COL.csv ; 4 ; 194 ; 27.470000000000002
aamas/logs_dfs/offices_range1_agents4__dfs_COL.csv ; 4 ; 252 ; 17.060000000000002
aamas/logs_dfs/offices_range1_agents4__dfs_COL.csv ; 4 ; 155 ; 5.44
aamas/logs_dfs/offices_range1_agents4__dfs_COL.csv ; 4 ; 37 ; 3.48
aamas/logs_dfs/offices_range1_agents4__dfs_COL.csv ; 4 ; 106 ; 1.6099999999999999
aamas/logs_dfs/offices_range1_agents4__dfs_COL.csv ; 4 ; 74 ; 10.25
aamas/logs_dfs/offices_range1_agents4__dfs_COL.csv ; 4 ; 236 ; 10.06
aamas/logs_dfs/offices_range1_agents4__dfs_COL.csv ; 4 ; 154 ; 14.85
aamas/logs_dfs/offices_range1_agents4__dfs_COL.csv ; 4 ; 136 ; 10.11
aamas/logs_dfs/offices_range1_agents4__dfs_COL.csv ; 4 ; 54 ; 1.24
aamas/logs_dfs/offices_range1_agents4__dfs_COL.csv ; 4 ; 59 ; 6.17
aamas/logs_dfs/offices_range1_agents4__dfs_COL.csv ; 4 ; 66 ; 2.81
aamas/logs_dfs/offices_range1_agents4__dfs_COL.csv ; 4 ; 112 ; 17.16
