Experiment ; nb_agents ; cost ; time 
aamas/logs_dfs/parallel_range1_agents2__dfs_COL.csv ; 2 ; 37 ; 1.24
aamas/logs_dfs/parallel_range1_agents2__dfs_COL.csv ; 2 ; 37 ; 1.0899999999999999
aamas/logs_dfs/parallel_range1_agents2__dfs_COL.csv ; 2 ; 37 ; 1.05
aamas/logs_dfs/parallel_range1_agents2__dfs_COL.csv ; 2 ; 37 ; 1.27
aamas/logs_dfs/parallel_range1_agents2__dfs_COL.csv ; 2 ; 37 ; 1.1800000000000002
aamas/logs_dfs/parallel_range1_agents2__dfs_COL.csv ; 2 ; 37 ; 1.1
aamas/logs_dfs/parallel_range1_agents2__dfs_COL.csv ; 2 ; 37 ; 1.13
aamas/logs_dfs/parallel_range1_agents2__dfs_COL.csv ; 2 ; 37 ; 1.06
aamas/logs_dfs/parallel_range1_agents2__dfs_COL.csv ; 2 ; 37 ; 1.13
aamas/logs_dfs/parallel_range1_agents2__dfs_COL.csv ; 2 ; 37 ; 1.0699999999999998
aamas/logs_dfs/parallel_range1_agents2__dfs_COL.csv ; 2 ; 37 ; 1.1
aamas/logs_dfs/parallel_range1_agents2__dfs_COL.csv ; 2 ; 37 ; 1.03
aamas/logs_dfs/parallel_range1_agents2__dfs_COL.csv ; 2 ; 37 ; 1.05
aamas/logs_dfs/parallel_range1_agents2__dfs_COL.csv ; 2 ; 37 ; 1.52
aamas/logs_dfs/parallel_range1_agents2__dfs_COL.csv ; 2 ; 37 ; 1.09
aamas/logs_dfs/parallel_range1_agents2__dfs_COL.csv ; 2 ; 37 ; 1.1
aamas/logs_dfs/parallel_range1_agents2__dfs_COL.csv ; 2 ; 37 ; 1.06
aamas/logs_dfs/parallel_range1_agents2__dfs_COL.csv ; 2 ; 37 ; 1.17
aamas/logs_dfs/parallel_range1_agents2__dfs_COL.csv ; 2 ; 37 ; 1.18
aamas/logs_dfs/parallel_range1_agents2__dfs_COL.csv ; 2 ; 37 ; 1.04
aamas/logs_dfs/parallel_range1_agents3__dfs_COL.csv ; 3 ; 64 ; 1.23
aamas/logs_dfs/parallel_range1_agents3__dfs_COL.csv ; 3 ; 64 ; 1.23
aamas/logs_dfs/parallel_range1_agents3__dfs_COL.csv ; 3 ; 64 ; 1.73
aamas/logs_dfs/parallel_range1_agents3__dfs_COL.csv ; 3 ; 64 ; 1.2
aamas/logs_dfs/parallel_range1_agents3__dfs_COL.csv ; 3 ; 64 ; 1.1199999999999999
aamas/logs_dfs/parallel_range1_agents3__dfs_COL.csv ; 3 ; 64 ; 1.12
