Experiment ; nb_agents ; cost ; time 
aamas/logs_dfs/pyramid_range3_3d_agents2__dfs_dfs.csv ; 2 ; 14 ; 1.6400000000000001
aamas/logs_dfs/pyramid_range3_3d_agents2__dfs_dfs.csv ; 2 ; 28 ; 1.73
aamas/logs_dfs/pyramid_range3_3d_agents2__dfs_dfs.csv ; 2 ; 33 ; 2.09
aamas/logs_dfs/pyramid_range3_3d_agents2__dfs_dfs.csv ; 2 ; 31 ; 1.8800000000000001
aamas/logs_dfs/pyramid_range3_3d_agents2__dfs_dfs.csv ; 2 ; 10 ; 1.6400000000000001
aamas/logs_dfs/pyramid_range3_3d_agents2__dfs_dfs.csv ; 2 ; 6 ; 1.6099999999999999
aamas/logs_dfs/pyramid_range3_3d_agents2__dfs_dfs.csv ; 2 ; 20 ; 1.79
aamas/logs_dfs/pyramid_range3_3d_agents2__dfs_dfs.csv ; 2 ; 74 ; 2.3099999999999996
aamas/logs_dfs/pyramid_range3_3d_agents2__dfs_dfs.csv ; 2 ; 13 ; 1.6900000000000002
aamas/logs_dfs/pyramid_range3_3d_agents2__dfs_dfs.csv ; 2 ; 8 ; 1.59
aamas/logs_dfs/pyramid_range3_3d_agents2__dfs_dfs.csv ; 2 ; 11 ; 1.77
aamas/logs_dfs/pyramid_range3_3d_agents2__dfs_dfs.csv ; 2 ; 7 ; 1.5899999999999999
aamas/logs_dfs/pyramid_range3_3d_agents2__dfs_dfs.csv ; 2 ; 23 ; 1.9500000000000002
aamas/logs_dfs/pyramid_range3_3d_agents2__dfs_dfs.csv ; 2 ; 28 ; 1.8900000000000001
aamas/logs_dfs/pyramid_range3_3d_agents2__dfs_dfs.csv ; 2 ; 19 ; 1.73
aamas/logs_dfs/pyramid_range3_3d_agents2__dfs_dfs.csv ; 2 ; 20 ; 1.92
aamas/logs_dfs/pyramid_range3_3d_agents2__dfs_dfs.csv ; 2 ; 26 ; 1.92
aamas/logs_dfs/pyramid_range3_3d_agents2__dfs_dfs.csv ; 2 ; 28 ; 1.86
aamas/logs_dfs/pyramid_range3_3d_agents2__dfs_dfs.csv ; 2 ; 11 ; 1.68
aamas/logs_dfs/pyramid_range3_3d_agents2__dfs_dfs.csv ; 2 ; 22 ; 1.92
aamas/logs_dfs/pyramid_range3_3d_agents3__dfs_dfs.csv ; 3 ; 12 ; 1.7799999999999998
aamas/logs_dfs/pyramid_range3_3d_agents3__dfs_dfs.csv ; 3 ; 11 ; 1.72
aamas/logs_dfs/pyramid_range3_3d_agents3__dfs_dfs.csv ; 3 ; 18 ; 1.74
aamas/logs_dfs/pyramid_range3_3d_agents3__dfs_dfs.csv ; 3 ; 20 ; 1.9100000000000001
aamas/logs_dfs/pyramid_range3_3d_agents3__dfs_dfs.csv ; 3 ; 29 ; 1.9300000000000002
aamas/logs_dfs/pyramid_range3_3d_agents3__dfs_dfs.csv ; 3 ; 20 ; 1.77
aamas/logs_dfs/pyramid_range3_3d_agents3__dfs_dfs.csv ; 3 ; 23 ; 1.9300000000000002
aamas/logs_dfs/pyramid_range3_3d_agents3__dfs_dfs.csv ; 3 ; 12 ; 1.67
aamas/logs_dfs/pyramid_range3_3d_agents3__dfs_dfs.csv ; 3 ; 8 ; 1.68
aamas/logs_dfs/pyramid_range3_3d_agents3__dfs_dfs.csv ; 3 ; 31 ; 2.11
aamas/logs_dfs/pyramid_range3_3d_agents3__dfs_dfs.csv ; 3 ; 30 ; 2.06
aamas/logs_dfs/pyramid_range3_3d_agents3__dfs_dfs.csv ; 3 ; 33 ; 2.13
aamas/logs_dfs/pyramid_range3_3d_agents3__dfs_dfs.csv ; 3 ; 24 ; 1.99
aamas/logs_dfs/pyramid_range3_3d_agents3__dfs_dfs.csv ; 3 ; 13 ; 1.85
aamas/logs_dfs/pyramid_range3_3d_agents3__dfs_dfs.csv ; 3 ; 296 ; 12.93
aamas/logs_dfs/pyramid_range3_3d_agents3__dfs_dfs.csv ; 3 ; 13 ; 1.7599999999999998
aamas/logs_dfs/pyramid_range3_3d_agents3__dfs_dfs.csv ; 3 ; 9 ; 1.74
aamas/logs_dfs/pyramid_range3_3d_agents3__dfs_dfs.csv ; 3 ; 14 ; 1.75
aamas/logs_dfs/pyramid_range3_3d_agents3__dfs_dfs.csv ; 3 ; 29 ; 1.21
aamas/logs_dfs/pyramid_range3_3d_agents3__dfs_dfs.csv ; 3 ; 29 ; 1.1800000000000002
aamas/logs_dfs/pyramid_range3_3d_agents4__dfs_dfs.csv ; 4 ; 34 ; 1.28
aamas/logs_dfs/pyramid_range3_3d_agents4__dfs_dfs.csv ; 4 ; 11 ; 1.05
aamas/logs_dfs/pyramid_range3_3d_agents4__dfs_dfs.csv ; 4 ; 10 ; 1.07
aamas/logs_dfs/pyramid_range3_3d_agents4__dfs_dfs.csv ; 4 ; 20 ; 1.17
